timestamp,condition,simulation_trial,seed,physics_engine,model_version,simulation_dimensions,profile_x_angle_deg,profile_y_angle_deg,simulated_average_deg,radial_angle_diagnostic_deg,physical_trial_1_deg,physical_trial_2_deg,physical_trial_3_deg,physical_average_deg,difference_sim_minus_physical_deg,absolute_difference_deg,percent_error,prevalidation_passed,frozen_material_friction_scale,amount_cups,reference_particle_count_3d,effective_particle_count_3d,normalized_solid_volume,coarse_grain_particles_per_cup,nominal_coarse_radius,particle_size_distribution_model,particle_size_distribution_assumption,particle_collision_shape_model,measurement_method,orthogonal_profile_difference_deg,lateral_friction,floor_friction,rolling_friction,spinning_friction,restitution,base_radius,radius_variation,gravity,physics_timestep,settled_before_measurement,simulated_seconds,wall_clock_seconds,average_physics_steps_per_second,replay_frame_count,raw_replay_file,visual_replay_page
2026-09-02T22:17:30,Unsieved Quartz Sand,1,380208885,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,31.266723,32.043837,31.65528,35.885601,27.6,32.27,29.38,29.75,1.90528,1.90528,6.404301,True,1.25,1,180,600,0.25,600,0.04633403,broad_log_volume_normalized,Generic broad unsieved distribution because measured sieve proportions were not supplied. Representative coarse-grain spread is limited to avoid artificial rock-sized outliers; total 3D solid volume is normalized.,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,0.777114,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.055,0.18,9.81,0.004166666666666667,True,15.95,54.259072,0.294,108,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__unsieved_quartz_sand__trial_1__seed_380208885.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__unsieved_quartz_sand__trial_1.html
2026-09-02T22:23:50,Unsieved Quartz Sand,2,901917769,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,34.489006,33.197346,33.843176,29.488618,27.6,32.27,29.38,29.75,4.093176,4.093176,13.758575,True,1.25,1,180,600,0.25,600,0.04633403,broad_log_volume_normalized,Generic broad unsieved distribution because measured sieve proportions were not supplied. Representative coarse-grain spread is limited to avoid artificial rock-sized outliers; total 3D solid volume is normalized.,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,1.29166,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.055,0.18,9.81,0.004166666666666667,True,15.85,33.010554,0.48,107,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__unsieved_quartz_sand__trial_2__seed_901917769.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__unsieved_quartz_sand__trial_2.html
2026-09-02T22:24:51,Unsieved Quartz Sand,3,814584884,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,32.891433,28.56283,30.727132,26.544787,27.6,32.27,29.38,29.75,0.977132,0.977132,3.284476,True,1.25,1,180,600,0.25,600,0.04633403,broad_log_volume_normalized,Generic broad unsieved distribution because measured sieve proportions were not supplied. Representative coarse-grain spread is limited to avoid artificial rock-sized outliers; total 3D solid volume is normalized.,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,4.328602,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.055,0.18,9.81,0.004166666666666667,True,15.35,32.187518,0.477,104,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__unsieved_quartz_sand__trial_3__seed_814584884.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__unsieved_quartz_sand__trial_3.html
2026-09-02T22:25:25,Quartz 125-250 um,1,984625067,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,37.940548,40.336099,39.138323,39.862521,29.09,30.21,34.76,31.353333,7.78499,7.78499,24.829864,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,2.395551,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.05,0.07,9.81,0.004166666666666667,True,15.15,30.646542,0.494,103,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_125_250_um__trial_1__seed_984625067.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_125_250_um__trial_1.html
2026-09-02T22:26:01,Quartz 125-250 um,2,245645247,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,35.726363,38.634881,37.180622,33.876758,29.09,30.21,34.76,31.353333,5.827289,5.827289,18.585867,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,2.908518,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.05,0.07,9.81,0.004166666666666667,True,15.55,31.306577,0.497,105,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_125_250_um__trial_2__seed_245645247.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_125_250_um__trial_2.html
2026-09-02T22:26:43,Quartz 125-250 um,3,1597884377,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,34.26011,34.708645,34.484378,41.016268,29.09,30.21,34.76,31.353333,3.131044,3.131044,9.98632,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,0.448536,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.05,0.07,9.81,0.004166666666666667,True,15.7,30.579721,0.513,106,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_125_250_um__trial_3__seed_1597884377.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_125_250_um__trial_3.html
2026-09-02T22:27:23,Quartz 250-500 um,1,198910070,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,35.313423,35.507847,35.410635,43.167789,29.31,33.98,25.74,29.676667,5.733968,5.733968,19.32147,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,0.194424,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.057,0.08,9.81,0.004166666666666667,True,15.65,31.260163,0.501,106,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_250_500_um__trial_1__seed_198910070.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_250_500_um__trial_1.html
2026-09-02T22:28:04,Quartz 250-500 um,2,788576636,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,35.172986,31.846523,33.509755,34.289017,29.31,33.98,25.74,29.676667,3.833088,3.833088,12.916167,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,3.326463,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.057,0.08,9.81,0.004166666666666667,True,15.9,31.319272,0.508,108,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_250_500_um__trial_2__seed_788576636.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_250_500_um__trial_2.html
2026-09-02T22:28:38,Quartz 250-500 um,3,1815991910,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,36.390106,34.222209,35.306158,36.194843,29.31,33.98,25.74,29.676667,5.629491,5.629491,18.969418,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,2.167898,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.057,0.08,9.81,0.004166666666666667,True,15.7,30.912078,0.508,106,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_250_500_um__trial_3__seed_1815991910.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_250_500_um__trial_3.html
2026-09-02T22:30:42,Quartz >500 um,1,1230184347,PyBullet 3D rigid-body physics,AOR_3D_SCIENCE_GATED_DIGITAL_TWIN_2026_09_02_REVIEW_CONTROLS,3,35.749467,35.172046,35.460757,32.318718,33.07,30.6,28.83,30.833333,4.627423,4.627423,15.007859,True,1.25,1,180,600,0.25,600,0.04633403,narrow_uniform,Sieved size class represented as a narrow 3D distribution,rough_sphere_relaxing_dry_sand,Primary: supported-foot to robust-apex ruler geometry in X/Y side projections; isolated outer runout grains are excluded; radial 3D fit retained as diagnostic,0.577421,0.8049844718999243,0.8497058314499202,0.0225,0.00625,0.015,0.064,0.1,9.81,0.004166666666666667,True,15.85,28.396524,0.558,107,04_RAW_REPLAY_DATA_FOR_REPRODUCIBILITY/RAW_EXACT_3D_REPLAY__quartz_gt500_um__trial_1__seed_1230184347.json,03_VISUAL_REPLAYS_OPEN_THESE/WATCH_3D_REPLAY__quartz_gt500_um__trial_1.html
